epoch,loss,accuracy,val_loss,val_accuracy
1,4.430524,0.030303,3.523284,0.052632
2,4.074344,0.037879,3.500307,0.052632
3,3.964902,0.079545,3.48081,0.052632
4,3.73235,0.109848,3.462997,0.070175
5,3.547734,0.128788,3.444759,0.052632
6,3.14024,0.234848,3.424064,0.052632
7,2.771934,0.325758,3.395722,0.052632
8,2.391868,0.465909,3.363929,0.105263
9,2.202916,0.473485,3.327129,0.122807
10,1.953156,0.579545,3.289788,0.192982
11,1.692039,0.670455,3.237085,0.210526
12,1.57952,0.689394,3.179328,0.22807
13,1.443074,0.69697,3.124014,0.263158
14,1.284657,0.791667,3.065106,0.280702
15,1.130994,0.852273,3.019186,0.263158
16,1.039945,0.856061,2.954242,0.315789
17,0.96847,0.897727,2.879921,0.350877
18,0.913356,0.897727,2.792779,0.403509
19,0.845953,0.897727,2.702996,0.473684
20,0.77125,0.931818,2.592591,0.54386
21,0.727071,0.931818,2.502754,0.578947
22,0.717988,0.92803,2.420215,0.578947
23,0.670078,0.94697,2.342815,0.561404
24,0.644036,0.962121,2.230877,0.561404
25,0.583711,0.962121,2.131612,0.596491
26,0.592326,0.943182,2.060236,0.578947
27,0.555585,0.94697,2.008399,0.596491
28,0.530915,0.965909,1.969875,0.596491
29,0.512273,0.969697,1.904562,0.596491
30,0.5107,0.969697,1.839836,0.596491
31,0.492728,0.969697,1.785222,0.596491
32,0.442143,0.984848,1.767843,0.596491
33,0.442433,0.988636,1.787764,0.596491
34,0.462407,0.962121,1.757071,0.596491
35,0.424189,0.969697,1.724246,0.596491
36,0.424288,0.977273,1.73293,0.614035
37,0.412931,0.977273,1.747185,0.596491
38,0.398388,0.973485,1.780193,0.596491
39,0.40815,0.969697,1.728418,0.614035
40,0.369058,0.984848,1.752332,0.649123
41,0.388483,0.984848,1.781809,0.614035
42,0.364028,0.984848,1.837,0.596491
43,0.369689,0.988636,1.891367,0.649123
44,0.369342,0.984848,1.861886,0.631579
45,0.346179,0.988636,1.882949,0.649123
46,0.331172,0.988636,2.026316,0.666667
47,0.35786,0.981061,1.90375,0.649123
48,0.34539,0.988636,2.017545,0.649123
49,0.348366,0.977273,1.988413,0.649123
50,0.331981,0.984848,1.990627,0.649123
51,0.328777,0.984848,2.026953,0.649123
52,0.315209,0.992424,2.070211,0.649123
53,0.30209,0.988636,2.209735,0.614035
54,0.331472,0.977273,2.186808,0.614035
55,0.310236,0.988636,2.2676,0.596491
56,0.329455,0.981061,2.34323,0.614035
57,0.308616,0.984848,2.314447,0.649123
58,0.299208,0.992424,2.331253,0.631579
59,0.312816,0.984848,2.255063,0.649123
60,0.297748,0.988636,2.218111,0.649123
61,0.292053,0.992424,2.168004,0.666667
62,0.283158,0.996212,2.171089,0.666667
63,0.307316,0.984848,2.177979,0.666667
64,0.302455,0.977273,2.167495,0.649123
65,0.283348,0.984848,2.15801,0.649123
66,0.275262,0.988636,2.157389,0.649123
67,0.271374,0.984848,2.213825,0.631579
68,0.29351,0.977273,2.204203,0.649123
69,0.281789,0.984848,2.139943,0.631579
70,0.284286,0.984848,2.152487,0.631579
71,0.292997,0.981061,2.141514,0.631579
